en,es
Act 44 Early Termination Tool,Herramienta de Terminación Anticipada de la Ley 44
Welcome to REFORM Alliance's Act 44 Early Termination tool.,Bienvenido a la herramienta de Terminación Anticipada de la Ley 44 de REFORM Alliance.
This tool is designed to help users navigate the legal requirements of ,Esta herramienta está diseñada para ayudar a los usuarios a navegar los requisitos legales de la 
Pennsylvania's Act 44,Ley 44 de Pennsylvania
", which requires courts to assess people for early termination of probation or the modification of probation conditions.",", la cual exige que los tribunales evalúen a las personas para la terminación anticipada de la libertad condicional o la modificación de las condiciones de la libertad condicional."
"This tool can be used by anyone, but is specifically designed to be used by people on probation. To begin using the tool, please click on the START button below.","Esta herramienta puede ser utilizada por cualquier persona, pero está específicamente diseñada para ser utilizada por personas en libertad condicional. Para comenzar a usar la herramienta, haga clic en el botón INICIAR a continuación."
"This tool is specifically designed to be used by people on probation or others who do not professionally work in this system. For those who work in this field, we have created other tools to help navigate every step in the Act 44 process regarding early termination and modification of probation conditions, those tools are available ","Esta herramienta está diseñada específicamente para ser utilizada por personas en libertad condicional u otras personas que no trabajan profesionalmente en este sistema. Para aquellos que trabajan en este campo, hemos creado otras herramientas para ayudar a navegar cada paso en el proceso de la Ley 44 con respecto a la terminación anticipada y la modificación de las condiciones de la libertad condicional, esas herramientas están disponibles "
here,aquí
First we need to ask when you were sentenced. We ask this question first because Act 44 provides very different options for you depending on when you were sentenced.,Primero necesitamos preguntar cuándo fue sentenciado. Hacemos esta pregunta primero porque la Ley 44 le ofrece opciones muy diferentes según la fecha de su sentencia.
"What date were you sentenced? If you do not know, you can look it up ","¿En qué fecha fue sentenciado? Si no lo sabe, puede buscarlo "
Yes,Sí
No,No
Next we need to ask you some questions about the charge or charges for which you were sentenced to probation. This is important because people sentenced for certain types of crimes are eligible for different kinds of legal options.,"A continuación, debemos hacerle algunas preguntas sobre el cargo o los cargos por los que fue sentenciado a libertad condicional. Esto es importante porque las personas sentenciadas por ciertos tipos de delitos son elegibles para diferentes tipos de opciones legales."
"Do you know the crimes for which you were convicted? If not, you can look them up ","¿Conoce los delitos por los que fue condenado? Si no, puede buscarlos "
Were you sentenced to probation for one of the following types of crimes?,¿Fue sentenciado a libertad condicional por uno de los siguientes tipos de delitos?
A ,Un 
Crime of Violence,Delito de Violencia
A crime related to sex offender registration (defined either ,Un delito relacionado con el registro de delincuentes sexuales (definido como 
 or , o 
homicide,homicidio
", including manslaughter, causing or aiding suicide, or drug delivery resulting in death",", incluyendo homicidio involuntario, causar o ayudar al suicidio, o entrega de drogas que resulte en muerte"
Simple assault,Asalto simple
 committed against a family or household member, cometido contra un miembro de la familia o del hogar
Stalking,Acecho
Next we need to ask you whether you were sentenced to jail or prison in addition to your probation sentence. This is important because it helps determine when you might be eligible for early termination.,"A continuación, necesitamos preguntarle si fue sentenciado a cárcel o prisión además de su sentencia de libertad condicional. Esto es importante porque ayuda a determinar cuándo podría ser elegible para la terminación anticipada."
"Were you sentenced to jail or prison in addition to your probation sentence? For this question, only sentences to jail or prison count, not time served in jail before your sentence.","¿Fue sentenciado a cárcel o prisión además de su sentencia de libertad condicional? Para esta pregunta, solo cuentan las sentencias de cárcel o prisión, no el tiempo cumplido en la cárcel antes de su sentencia."
"Next we need to ask you when you started serving your probation sentence, after you were released from jail or prison. This is important because it helps determine when you might be eligible for early termination.","A continuación, necesitamos preguntarle cuándo comenzó a cumplir su sentencia de libertad condicional, después de ser liberado de la cárcel o prisión. Esto es importante porque ayuda a determinar cuándo podría ser elegible para la terminación anticipada."
On what date did you start serving your probation sentence?,¿En qué fecha comenzó a cumplir su sentencia de libertad condicional?
"You are eligible to apply for early termination of probation, or for modifications of probation conditions, under ","Usted es elegible para solicitar la terminación anticipada de la libertad condicional, o para modificaciones de las condiciones de la libertad condicional, bajo "
42 P.A.C.S. § 9771,42 P.A.C.S. § 9771
". A judge has discretion to grant or deny this application at any time. However, you are not eligible for early termination or the modification of probation conditions under Act 44. Please consult with a lawyer with any questions about your eligibility.",". Un juez tiene discreción para conceder o denegar esta solicitud en cualquier momento. Sin embargo, usted no es elegible para la terminación anticipada o la modificación de las condiciones de la libertad condicional bajo la Ley 44. Por favor, consulte con un abogado si tiene alguna pregunta sobre su elegibilidad."
Next we need to ask you whether any of the charges that landed you on probation were felonies. This is important because it helps determine when you might be eligible for early termination.,"A continuación, necesitamos preguntarle si alguno de los cargos por los que fue puesto en libertad condicional fueron delitos graves. Esto es importante porque ayuda a determinar cuándo podría ser elegible para la terminación anticipada."
"Were any of the charges for which you were sentenced to probation a felony? If not, you can look that up ","¿Alguno de los cargos por los que fue sentenciado a libertad condicional fue un delito grave? Si no, puede buscarlo "
Did you start serving probation immediately after being on parole?,¿Comenzó a cumplir la libertad condicional inmediatamente después de estar en libertad condicional?
Did you serve the final year of parole without any violations?,¿Cumplió el último año de libertad condicional sin ninguna infracción?
"Next we need to ask more about your case, it will help us determine when you might be eligible for early termination. Were you convicted of multiple misdemeanors that resulted in consecutive sentences? Again, if you don’t know this, you can look it up ","A continuación, necesitamos preguntarle más sobre su caso, nos ayudará a determinar cuándo podría ser elegible para la terminación anticipada. ¿Fue condenado por múltiples delitos menores que resultaron en sentencias consecutivas? De nuevo, si no sabe esto, puede buscarlo "
"We need to ask one final question about these convictions, to help determine when you might be eligible for early termination. We need to know whether your misdemeanor convictions were for the same acts or different acts? In other words, were the convictions from one incident at one time, or unrelated incidents at different times?","Necesitamos hacer una última pregunta sobre estas condenas, para ayudar a determinar cuándo podría ser elegible para la terminación anticipada. Necesitamos saber si sus condenas por delitos menores fueron por los mismos actos o por actos diferentes. En otras palabras, ¿fueron las condenas de un solo incidente en un momento, o incidentes no relacionados en diferentes momentos?"
Same Conduct,Misma Conducta
Different Conduct,Conducta Diferente
"Next we need to ask about the length of the probation sentence you have. We need this information to figure out when you are eligible for a probation review conference as part of Act 44. Do you know how long your probation sentence was? If not, you can look it up ","A continuación, necesitamos preguntarle sobre la duración de su sentencia de libertad condicional. Necesitamos esta información para determinar cuándo es elegible para una conferencia de revisión de libertad condicional como parte de la Ley 44. ¿Sabe cuánto duró su sentencia de libertad condicional? Si no, puede buscarla "
"Please enter the probation sentence length here. If you are serving multiple probation sentences consecutively, please add the sentences together. If you served probation after serving time in jail or prison, do not include any jail or prison time here.","Por favor, ingrese la duración de la sentencia de libertad condicional aquí. Si está cumpliendo múltiples sentencias de libertad condicional consecutivamente, por favor sume las sentencias. Si cumplió la libertad condicional después de cumplir tiempo en la cárcel o prisión, no incluya ningún tiempo de cárcel o prisión aquí."
Month,Mes
Year,Año
Next we need to ask you about what you have been doing while on probation. Act 44 allows those who have finished certain programs or graduated from high school or college while on probation to be eligible for early termination earlier than others.,"A continuación, necesitamos preguntarle sobre lo que ha estado haciendo mientras estaba en libertad condicional. La Ley 44 permite que aquellos que han terminado ciertos programas o se han graduado de la escuela secundaria o la universidad mientras están en libertad condicional sean elegibles para la terminación anticipada antes que otros."
Did you do any of the following things while on probation?,¿Hizo alguna de las siguientes cosas mientras estuvo en libertad condicional?
Earn a high school diploma or GED,Obtener un diploma de escuela secundaria o GED
"Earn an associate degree from an accredited university, college, seminary college, community college, or two-year college","Obtener un título de asociado de una universidad, colegio, seminario, colegio comunitario o colegio de dos años acreditado"
"Earn a bachelor's degree from an accredited university, college, or seminary college","Obtener un título de licenciatura de una universidad, colegio o seminario acreditado"
"Earn a master's or other graduate degree from an accredited university, college, or seminary college","Obtener una maestría u otro título de posgrado de una universidad, colegio o seminario acreditado"
"Obtain a vocational or occupational license, certificate, registration, or permit that was approved by your probation officer","Obtener una licencia vocacional u ocupacional, certificado, registro o permiso que fue aprobado por su oficial de libertad condicional"
"Complete a certified vocational, certified technical, or certified career education or training program that was approved by your probation officer","Completar un programa de educación o capacitación vocacional, técnica o profesional certificada que fue aprobado por su oficial de libertad condicional"
Finish a program or condition designed to improve your life that was ordered by the court at sentencing and approved by your probation officer,Finalizar un programa o condición diseñado para mejorar su vida que fue ordenado por el tribunal en la sentencia y aprobado por su oficial de libertad condicional
Did you complete two or more of these achievements while on probation?,¿Completó dos o más de estos logros mientras estuvo en libertad condicional?
"After receiving the Probation Status Report, you and the prosecutor have 30 days to object to the findings and recommendations of your probation office. This is ","Después de recibir el Informe de Estado de Libertad Condicional, usted y el fiscal tienen 30 días para objetar los hallazgos y recomendaciones de su oficina de libertad condicional. Esto es "
extremely important ,extremadamente importante 
"because if neither you nor your prosecutor object, these recommendations ","porque si ni usted ni su fiscal objetan, estas recomendaciones "
must,deben
" be enforced. This means that if your probation office recommends early termination and your prosecutor does not object, the court must terminate your probation! But it also means that if you do not agree with your probation office’s recommendations, you should strongly consider objecting to this report, and should contact your lawyer about your options."," ser aplicadas. Esto significa que si su oficina de libertad condicional recomienda la terminación anticipada y su fiscal no objeta, ¡el tribunal debe terminar su libertad condicional! Pero también significa que si no está de acuerdo con las recomendaciones de su oficina de libertad condicional, debe considerar seriamente objetar este informe y debe comunicarse con su abogado sobre sus opciones."
"If you or your prosecutor object to this report, the next step is a mandatory court procedure called a Probation Review Conference. What happens at a Probation Review Conference is extremely important because it may help you decide whether to object to this report or not. In some cases, a court will be required to grant you early termination at a Probation Review Conference. In other cases, a court will not be allowed to do so. Knowing how these conferences work will help you make the right decision about objecting to the Probation Status Report or not.","Si usted o su fiscal objetan este informe, el siguiente paso es un procedimiento judicial obligatorio llamado Conferencia de Revisión de Libertad Condicional. Lo que sucede en una Conferencia de Revisión de Libertad Condicional es extremadamente importante porque puede ayudarle a decidir si objetar o no este informe. En algunos casos, un tribunal estará obligado a concederle la terminación anticipada en una Conferencia de Revisión de Libertad Condicional. En otros casos, un tribunal no podrá hacerlo. Saber cómo funcionan estas conferencias le ayudará a tomar la decisión correcta sobre si objetar o no el Informe de Estado de Libertad Condicional."
Click NEXT to find out what happens at a Probation Review Conference.,Haga clic en SIGUIENTE para saber qué sucede en una Conferencia de Revisión de Libertad Condicional.
"At your Probation Review Conference, a court will consider whether to change the conditions of your probation, and can reduce or increase the severity of those conditions. The judge is permitted to consider any information you provide, so if you are seeking to have your conditions changed it is important that you give the judge all the information you can to support your application.","En su Conferencia de Revisión de Libertad Condicional, un tribunal considerará si cambia las condiciones de su libertad condicional y puede reducir o aumentar la severidad de esas condiciones. El juez tiene permiso para considerar cualquier información que usted proporcione, por lo que si busca que se cambien sus condiciones, es importante que le dé al juez toda la información posible para respaldar su solicitud."
"Due to your conviction, a judge cannot grant you early termination at your Probation Review Conference. However, you are always eligible to apply for early termination under 42 P.A.C.S. § 9771. A judge has discretion to grant such an application at any time regardless of any convictions or other issues.","Debido a su condena, un juez no puede concederle la terminación anticipada en su Conferencia de Revisión de Libertad Condicional. Sin embargo, usted siempre es elegible para solicitar la terminación anticipada bajo 42 P.A.C.S. § 9771. Un juez tiene discreción para conceder dicha solicitud en cualquier momento, independientemente de cualquier condena u otros problemas."
"After your conference, the court must provide you with “written notice of the court's order detailing the court's findings.” You are eligible for another probation review conference within one year of the Conference, where the judge can again consider changing the conditions of your probation but cannot terminate probation early.","Después de su conferencia, el tribunal debe proporcionarle una “notificación por escrito de la orden del tribunal que detalla los hallazgos del tribunal”. Usted es elegible para otra conferencia de revisión de libertad condicional dentro de un año de la Conferencia, donde el juez puede considerar nuevamente cambiar las condiciones de su libertad condicional pero no puede terminar la libertad condicional anticipadamente."
"Next, a judge will look at any alleged bad acts you have committed while on probation. This is important because if the judge finds you have committed one of these acts, they are not allowed to grant you early termination.","A continuación, un juez examinará cualquier acto indebido que haya cometido mientras estuvo en libertad condicional. Esto es importante porque si el juez determina que usted cometió uno de estos actos, no se le permitirá otorgarle la terminación anticipada."
"First, the judge will decide whether there is clear and convincing evidence that you caused an “identifiable threat to public safety.” The terms “clear and convincing evidence” and “identifiable threat to public safety” have important legal meanings, please consult an attorney if you have any question about their meaning.","Primero, el juez decidirá si existe evidencia clara y convincente de que usted causó una “amenaza identificable a la seguridad pública”. Los términos “evidencia clara y convincente” y “amenaza identificable a la seguridad pública” tienen significados legales importantes; por favor, consulte a un abogado si tiene alguna pregunta sobre su significado."
The options available at a Probation Review Conference change depending on whether a judge finds this “identifiable threat to public safety.” Click below to see what happens next.,Las opciones disponibles en una Conferencia de Revisión de Libertad Condicional cambian según si un juez encuentra esta “amenaza identificable a la seguridad pública”. Haga clic a continuación para ver qué sucede a continuación.
Found Threat to Public Safety,Se Encontró Amenaza a la Seguridad Pública
Did Not Find Threat to Public Safety,No Se Encontró Amenaza a la Seguridad Pública
"Due to the judge’s findings of a threat to public safety in the past 6 months, a judge cannot grant you early termination at your Probation Review Conference ","Debido a los hallazgos del juez de una amenaza a la seguridad pública en los últimos 6 meses, un juez no puede concederle la terminación anticipada en su Conferencia de Revisión de Libertad Condicional "
at this time,en este momento
". However, you are eligible for another Probation Review Conference 6 months after the date on which this threat to public safety occurred. This could be just a few days or weeks from the date of your Conference, depending on exactly when this threat occurred.",". Sin embargo, usted es elegible para otra Conferencia de Revisión de Libertad Condicional 6 meses después de la fecha en que ocurrió esta amenaza a la seguridad pública. Esto podría ser solo unos días o semanas a partir de la fecha de su Conferencia, dependiendo de cuándo ocurrió exactamente esta amenaza."
. A judge has discretion to grant such an application at any time regardless of any other issues.,". Un juez tiene discreción para conceder dicha solicitud en cualquier momento, independientemente de cualquier otro problema."
"Next, a judge will look at another type of alleged bad act you may have committed while on probation. Again, this is important because if the judge finds you have committed one of these acts, they are not allowed to grant you early termination.","A continuación, un juez examinará otro tipo de presunto acto indebido que usted pudo haber cometido mientras estuvo en libertad condicional. Una vez más, esto es importante porque si el juez determina que usted cometió uno de estos actos, no se le permitirá otorgarle la terminación anticipada."
"At this point, the judge will look at technical violations that occurred in the past 6 months. These acts must have occurred in the 6 months before the Conference, anything older than 6 months does not count. The judge will determine if there is a preponderance of the evidence that you committed a violation of the terms of your probation in a number of different categories listed below. A “preponderance of the evidence” means that the evidence makes it more likely than not that you committed one of these acts. The categories are as follows:","En este punto, el juez examinará las violaciones técnicas que ocurrieron en los últimos 6 meses. Estos actos deben haber ocurrido en los 6 meses anteriores a la Conferencia; cualquier cosa anterior a los 6 meses no cuenta. El juez determinará si existe una preponderancia de la evidencia de que usted cometió una violación de los términos de su libertad condicional en una serie de categorías diferentes que se enumeran a continuación. Una “preponderancia de la evidencia” significa que la evidencia hace que sea más probable que no que usted haya cometido uno de estos actos. Las categorías son las siguientes:"
"""Sexual in nature""","""De naturaleza sexual"""
"""Assaultive behavior"" or ""credible threats to cause bodily injury to another""","""Comportamiento agresivo"" o ""amenazas creíbles de causar lesiones corporales a otro"""
Possession or control of firearm or dangerous weapon,Posesión o control de arma de fuego o arma peligrosa
"Manufacture, sale, delivery, or possession with intent to sell drugs","Fabricación, venta, entrega o posesión con intención de vender drogas"
Absconded,Fuga
Unexcused and intentional failure to adhere to programming or conditions on 3 or more separate occasions,Incumplimiento intencional e injustificado de programas o condiciones en 3 o más ocasiones separadas
The options available at a Probation Review Conference change depending on whether a judge finds that you committed one of these technical violations. Click below to see what happens next.,Las opciones disponibles en una Conferencia de Revisión de Libertad Condicional cambian dependiendo de si un juez determina que usted cometió una de estas infracciones técnicas. Haga clic a continuación para ver qué sucede a continuación.
Technical Violation Found,Infracción Técnica Encontrada
No Technical Violation Found,No Se Encontró Infracción Técnica
"Due to the judge’s findings of a technical violation in the past 6 months, a judge cannot grant you early termination at your Probation Review Conference at this time. However, you are eligible for another Probation Review Conference 6 months after the date on which this threat to public safety occurred. This could be just a few days or weeks from the date of your Conference, depending on exactly when this threat occurred.","Debido a los hallazgos del juez de una infracción técnica en los últimos 6 meses, un juez no puede concederle la terminación anticipada en su Conferencia de Revisión de Libertad Condicional en este momento. Sin embargo, usted es elegible para otra Conferencia de Revisión de Libertad Condicional 6 meses después de la fecha en que ocurrió esta amenaza a la seguridad pública. Esto podría ser solo unos días o semanas a partir de la fecha de su Conferencia, dependiendo de cuándo ocurrió exactamente esta amenaza."
"After your conference, the court must provide you with “written notice of the court's order detailing the court's findings.” This should contain information about the technical violation or violations the judge found, so you are informed of the judge’s decision-making.","Después de su conferencia, el tribunal debe proporcionarle una “notificación por escrito de la orden del tribunal que detalla los hallazgos del tribunal”. Esto debe contener información sobre la infracción o infracciones técnicas que encontró el juez, para que usted esté informado de la toma de decisiones del juez."
"Next, a judge will look at other behavior during your time on probation. For this step, the judge will look at your behavior the entire time you were on probation, not just the past 6 months.","A continuación, un juez examinará otro comportamiento durante su tiempo en libertad condicional. Para este paso, el juez examinará su comportamiento durante todo el tiempo que estuvo en libertad condicional, no solo los últimos 6 meses."
"For this step, the judge will look at your behavior in two categories, for the entire time you have been on probation:","Para este paso, el juez examinará su comportamiento en dos categorías, durante todo el tiempo que ha estado en libertad condicional:"
Clear and convincing evidence that you “created an identifiable threat to public safety.”,Evidencia clara y convincente de que usted “creó una amenaza identificable a la seguridad pública”.
"A preponderance of the evidence that you have not “successfully completed all treatment or other programs required as a condition of probation,” and also that terminating probation would prevent you from continuing in the programming that the court finds is necessary for your rehabilitation, or that it would create a “substantial likelihood” that you would stop the treatment or program.","Una preponderancia de la evidencia de que usted no ha “completado con éxito todos los tratamientos u otros programas requeridos como condición de libertad condicional”, y también que la terminación de la libertad condicional le impediría continuar en la programación que el tribunal considere necesaria para su rehabilitación, o que crearía una “probabilidad sustancial” de que usted abandonaría el tratamiento o programa."
"As a reminder, the difference between “clear and convincing evidence” and a “preponderance of the evidence” is significant, and you should consult a lawyer with any questions about these or other legal issues.","Como recordatorio, la diferencia entre “evidencia clara y convincente” y una “preponderancia de la evidencia” es significativa, y usted debe consultar a un abogado si tiene alguna pregunta sobre estos u otros asuntos legales."
"After the judge makes a finding on these two questions, they may be required to grant early termination, so click below to see what happens next.","Después de que el juez emita un fallo sobre estas dos preguntas, es posible que se le exija conceder la terminación anticipada, así que haga clic a continuación para ver qué sucede a continuación."
Did the judge answer ,¿El juez respondió 
YES,SÍ
 to either of these two questions?, a alguna de estas dos preguntas?
"At your Probation Review Conference, a court is not required to grant you early termination. However, the judge can still grant early termination in their discretion! The judge is permitted to consider any information you provide, so if you are seeking early termination or to have your conditions changed it is important that you give the judge all the information you can to support your application. Please consult with a lawyer to discuss your options for best advocating for early termination.","En su Conferencia de Revisión de Libertad Condicional, no se requiere que un tribunal le conceda la terminación anticipada. Sin embargo, ¡el juez aún puede conceder la terminación anticipada a su discreción! El juez tiene permitido considerar cualquier información que usted proporcione, por lo que si busca la terminación anticipada o que se cambien sus condiciones, es importante que le dé al juez toda la información que pueda para respaldar su solicitud. Por favor, consulte con un abogado para discutir sus opciones para abogar mejor por la terminación anticipada."
"Also please be aware that even if the court does not grant you early termination, they can also change the conditions of your probation, and can reduce or increase the severity of those conditions. Again, it is important to present the judge with whatever information you can to best make your arguments!","También tenga en cuenta que incluso si el tribunal no le concede la terminación anticipada, también pueden cambiar las condiciones de su libertad condicional y pueden reducir o aumentar la severidad de esas condiciones. Una vez más, ¡es importante presentar al juez toda la información que pueda para presentar mejor sus argumentos!"
"If the judge does not grant you early termination at this time, you are eligible for another Probation Review Conference 1 year after this Conference. Also, the court must provide you with “written notice of the court's order detailing the court's findings.”","Si el juez no le concede la terminación anticipada en este momento, usted es elegible para otra Conferencia de Revisión de Libertad Condicional 1 año después de esta Conferencia. Además, el tribunal debe proporcionarle una “notificación por escrito de la orden del tribunal que detalla los hallazgos del tribunal”."
We have only one more question to answer before determining whether the judge will be required to grant you early termination.,Solo tenemos una pregunta más que responder antes de determinar si se le exigirá al juez que le conceda la terminación anticipada.
"Have you paid all of the restitution you owe, if restitution was part of your sentence?","¿Ha pagado toda la restitución que debe, si la restitución fue parte de su sentencia?"
"Congratulations, the judge ","¡Felicidades, el juez "
 grant you early termination of probation!, otorgarle la terminación anticipada de la libertad condicional!
You are still eligible for early termination!,¡Usted sigue siendo elegible para la terminación anticipada!
"The judge has the power to grant or deny early termination, or to modify the conditions of your probation. However, because you have not paid all of your restitution, the judge is not required to grant you early termination. If you have paid at least 50% of your restitution, or if you have made a “good faith” effort to pay the restitution you owe, then it impacts what a judge is required to do.","El juez tiene el poder de conceder o denegar la terminación anticipada, o de modificar las condiciones de su libertad condicional. Sin embargo, como no ha pagado toda su restitución, el juez no está obligado a concederle la terminación anticipada. Si ha pagado al menos el 50% de su restitución, o si ha hecho un esfuerzo de “buena fe” para pagar la restitución que debe, entonces esto afecta lo que un juez está obligado a hacer."
"Have you paid at least 50% of your restitution, or made a “good faith” effort to pay?","¿Ha pagado al menos el 50% de su restitución, o ha hecho un esfuerzo de “buena fe” para pagar?"
"Because you have paid at least 50% of your restitution, or made a “good faith” effort to pay it, if the judge does not grant you early termination they must place you on administrative probation. This means that the only terms of your probation must be as follows:","Debido a que ha pagado al menos el 50% de su restitución, o ha hecho un esfuerzo de “buena fe” para pagarla, si el juez no le concede la terminación anticipada, debe colocarlo en libertad condicional administrativa. Esto significa que los únicos términos de su libertad condicional deben ser los siguientes:"
Required contact with probation between 1-4 times per year,Contacto requerido con la libertad condicional entre 1 y 4 veces al año
Required to notify the court of any change in address or employment “within a reasonable period of time”,Se requiere notificar al tribunal cualquier cambio de dirección o empleo “dentro de un período de tiempo razonable”
Required to pay restitution “as ordered by the court on a schedule or payment plan that” you can afford to pay,Se requiere pagar la restitución “según lo ordene el tribunal en un cronograma o plan de pago que” usted pueda pagar
Does not require fees or costs,No requiere tarifas ni costos
"Next we need to ask you some questions about the crime or crimes for which you were sentenced. Do you know the crimes for which you were convicted? If not, you can look them up ","A continuación, necesitamos preguntarle sobre el delito o los delitos por los que fue sentenciado. ¿Conoce los delitos por los que fue condenado? Si no, puede buscarlo "
A crime related to sex offender registration,Un delito relacionado con el registro de delincuentes sexuales
Assault or stalking against a family or household member? This only counts if they were convicted under 18 Pa.C.S. § 2701 (relating to simple assault) or 2709.1 (relating to stalking),¿Asalto o acoso contra un miembro de la familia o del hogar? Esto solo cuenta si fue condenado bajo 18 Pa.C.S. § 2701 (relativo a agresión simple) o 2709.1 (relativo a acoso)
"Now we need to ask you about your behavior while on probation. Eligibility for certain kinds of benefits under Act 44 depends on whether you had any arrests, convictions, or violations while on probation or while in custody.","Ahora necesitamos preguntarle sobre su comportamiento mientras estuvo en libertad condicional. La elegibilidad para ciertos tipos de beneficios bajo la Ley 44 depende de si tuvo arrestos, condenas o violaciones mientras estuvo en libertad condicional o bajo custodia."
"Were you convicted of a felony or first or second degree misdemeanor during this time? Please note that only a conviction counts here, not an arrest.","¿Fue condenado por un delito grave o un delito menor de primer o segundo grado durante este tiempo? Tenga en cuenta que aquí solo cuenta una condena, no un arresto."
Now we need to ask you about the severity of the charge that resulted in your being on probation. This is important because whether you were convicted of a felony or misdemeanor determines when you are eligible for benefits under Act 44.,Ahora necesitamos preguntarle sobre la gravedad del cargo que resultó en su libertad condicional. Esto es importante porque si fue condenado por un delito grave o un delito menor determina cuándo es elegible para los beneficios bajo la Ley 44.
Judge Finds Technical Violations,El Juez Encuentra Infracciones Técnicas
No Technical Violations,No Hay Infracciones Técnicas
You are entitled to a conference under Act 44 where a judge will determine whether their probation should be terminated or modified. That conference must be held by eligibility date,Usted tiene derecho a una conferencia bajo la Ley 44 donde un juez determinará si su libertad condicional debe ser terminada o modificada. Esa conferencia debe realizarse antes de la fecha de elegibilidad
Thank you for using the Act 44 Early Termination Tool!,¡Gracias por usar la herramienta de Terminación Anticipada de la Ley 44!
We hope this tool has been helpful in understanding your potential eligibility for early termination or modification of probation conditions under Act 44.,Esperamos que esta herramienta le haya sido útil para comprender su posible elegibilidad para la terminación anticipada o la modificación de las condiciones de la libertad condicional bajo la Ley 44.
Start,Iniciar
Back,Atrás
Next,Siguiente
Finish,Finalizar
Start Over,Empezar de Nuevo
Missing answer,Respuesta Faltante
Please select an answer before clicking Next,"Por favor, seleccione una respuesta antes de hacer clic en Siguiente"
Leaving Application,Saliendo de la Aplicación
This will take you to a new website.,Esto lo llevará a un nuevo sitio web.
Continue,Continuar
Select a date:,Seleccione una Fecha:
Select Duration,Seleccionar Duración
Years:,Años:
Months:,Meses:
Change Language,Cambiar Idioma
English,Inglés
Español,Español
Felony,Delito grave
Misdemeanor,Delito menor
Please select a duration for probation sentence.,"Por favor, seleccione una duración para la sentencia de libertad condicional."
On ,El 
Your Probation Review Conference must be held by eligibility date,Su Conferencia de Revisión de Libertad Condicional debe realizarse antes de la fecha de elegibilidad
Your Probation Review Conference must be held by ,Su Conferencia de Revisión de Libertad Condicional debe celebrarse antes del 
". If you do not receive your hearing by this date, you have the right to petition the court to hold this hearing within 5 days.",". Si no recibe su audiencia para esta fecha, tiene derecho a solicitar al tribunal que celebre esta audiencia dentro de los 5 días."
On or before ,En o antes de 
", your probation officer must serve you with a document known as a Probation Status Report. They must also serve it on your prosecutor, court, your lawyer, and any registered victim. This document is ",", su oficial de libertad condicional debe entregarle un documento conocido como Informe de Estado de Libertad Condicional. También debe entregárselo a su fiscal, al tribunal, a su abogado y a cualquier víctima registrada. Esto es "
critically important,críticamente importante
 for you to review carefully., para que lo revise cuidadosamente.
This document must contain the following information,Este documento debe contener la siguiente información
The date your PO believes you are eligible for a conference on early termination or changing probation conditions,La fecha en que su oficial de libertad condicional cree que usted es elegible para una conferencia sobre terminación anticipada o cambio de condiciones de libertad condicional
Any technical violations your PO thinks you have committed within the past 6 months,Cualquier infracción técnica que su oficial de libertad condicional crea que ha cometido en los últimos 6 meses
Any criminal convictions you have had while on probation or in custody on uderlying case,Cualquier condena penal que haya tenido mientras estuvo en libertad condicional o bajo custodia en el caso subyacente
Any programs you have completed while on probation,Cualquier programa que haya completado mientras estuvo en libertad condicional
"Your restitution payments, if you have any","Sus pagos de restitución, si los tiene"
A general description of your progress on probation,Una descripción general de su progreso en libertad condicional
"Most importantly, your probation office must make a recommendation that your probation be terminated, your conditions modified, or that you continue under your current conditions. This is critically important for reasons explained on the next screen.","Lo más importante es que su oficina de libertad condicional debe hacer una recomendación para que su libertad condicional sea terminada, sus condiciones modificadas o que continúe bajo sus condiciones actuales. Esto es de vital importancia por las razones que se explican en la siguiente pantalla."
If you did not receive this report by ,Si no recibió este informe para el 
", you should contact your attorney as soon as possible. It is very important to review this document, for reasons we will explain next.",", debe comunicarse con su abogado lo antes posible. Es muy importante revisar este documento, por las razones que explicaremos a continuación."
"After your conference, the court must provide you with “written notice of the court's order detailing the court's findings.” This should contain information about the date of the threat to public safety the judge found. Remember, you are eligible for another Probation Review Conference within 6 months of the date of this threat, at which time the court can again consider changing the conditions of your probation or terminating probation early.","Después de su conferencia, el tribunal debe proporcionarle una “notificación por escrito de la orden del tribunal que detalla los hallazgos del tribunal”. Esto debe contener información sobre la fecha de la amenaza a la seguridad pública que encontró el juez. Recuerde, usted es elegible para otra Conferencia de Revisión de Libertad Condicional dentro de los 6 meses de la fecha de esta amenaza, momento en el cual el tribunal puede considerar nuevamente cambiar las condiciones de su libertad condicional o terminar la libertad condicional anticipadamente."
